name,descr,url,price,image_urls,images,id
Scandia Ardeo 7 Stove,"The Ardeo VII (7kW) stove is the largest in the Ardeo range, forged in traditional cast iron with a distinct touch of contemporary styling this 7kW stove will effectively heat living spaces up to 98 cubic metres. It is Defra and HETAS approved for use in Smoke Control Areas. This stove has a firebrick lined firebox, a removable ash pan for ease of maintenance, premium impact resistant glass as well as a ""clearview"" glass airwash system.",https://www.homebase.co.uk/scandia-ardeo-7-stove_p479752,650,"https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/535f7b65-c659-4f73-9c72-f7e4d645a6c3.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/35611694-419c-46fe-87fb-d49851ee9175.JPG",,479752
Dimplex Club 2kW Electric Stove,"The Dimplex 2 kW Club electric fire is an ideal alternative to a traditional wood burning/solid fuel stove. This electric stove has a choice of heat settings allowing you to have complete control on how much warmth you require, also coming with a remote control gives even more accessibility, so you can change settings with ease.",https://www.homebase.co.uk/dimplex-club-2kw-electric-stove_p370239,195,"https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/5bb6cebc-dbb3-4ec9-8410-92209a6d355b.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/9cf6e7d1-0986-4c2a-8993-d136b08e1a3b.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/ae4dd843-3c5d-4873-8056-17b1c650b6c2.jpg",,370239
Dimplex Gosford 2kW Opti-myst Electric Stove,A classic black freestanding stove featuring a 3D realistic flame effect; the perfect blend of tradition and innovation and will be a perfect statement feature in any home.    ,https://www.homebase.co.uk/dimplex-gosford-2kw-opti-myst-electric-stove_p291078,499,"https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/5f6c15d9-5605-4ac8-8f10-a42ad945ae39.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/28b7fafe-51b7-4f2b-b4c9-ccb31331bf67.jpg",,291078
£100 Homebase Gift Card,"Give a gift card for even more choice.  Whether someone you know is a keen gardener, a DIY enthusiast or simply looking to invest in their home, our gift cards will be perfectly suited. Each card is blank so you can add your own personal message.",https://www.homebase.co.uk/-100-homebase-gift-card_p427972,100,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/82006bb6-68bc-4f85-ab1d-66536f28e52d.jpg,,427972
£30 Homebase Gift Card,"Give a gift card for even more choice.  Whether someone you know is a keen gardener, a DIY enthusiast or simply looking to invest in their home, our gift cards will be perfectly suited. Each card is blank so you can add your own personal message.",https://www.homebase.co.uk/-30-homebase-gift-card_p488196,30,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/d7f03a49-e9d0-422a-87b8-94cd724ac253.jpg,,488196
Duchess Top Companion Set - 5pc,"This Duchess Top Companion Set complete with Stand, Poker, Shovel, Tongs and Brush provides all the necessary tools needed when creating the perfect fire to relax besides.",https://www.homebase.co.uk/duchess-top-companion-set-5pc_p412040,12.95,"https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/15d4aef9-45a3-4615-814d-2b2b8dc99c8f.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/48f76599-28d8-4556-a1ec-f07c712f8197.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/bef3ed39-31e8-4034-95d2-be301afcd90e.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/70798172-00bd-469d-ad3d-c7168de9350a.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/7a3790aa-2d78-4fce-8cc3-69f0d6630c44.jpg",,412040
Dimplex Brayford 2kW Electric Stove,"The Brayford is an elegant and traditionally styled 2 kW electric stove, an ideal alternative to traditional wood burning/solid fuel stoves. The Brayford features a choice of heat settings, log effect fuel bed and the realistic moving flame effect Optiflame. It can be operated with or without heat, making it ideal for use all year round. The Brayford has a remote control so you can switch it on/off from a distance. The Brayford has BEAB Intertek approval for added safety assurance.",https://www.homebase.co.uk/dimplex-brayford-2kw-electric-stove_p381130,150,"https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/3e5fc032-cc81-4b1b-a48d-a4ea8bd64ff7.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/f33ab5e4-bd59-4b4a-a612-d40db2e622c1.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/4c9218c3-3efb-4f10-8aab-029d9d4194bf.jpg,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/a54b8e39-6b42-4d93-a2f2-9de12dc09d82.jpg",,381130
Adam Woodhouse Electric Stove - Black,"With its black finish, the Woodhouse is an electric stove with a difference. This traditionally styled stove has an air of elegance about it, which allows it to fit into both classically and contemporarily styled interiors. ",https://www.homebase.co.uk/adam-woodhouse-electric-stove-black_p468971,200,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/a7444a02-001c-4b77-987b-0a362dbb4080.png,,468971
Scandia Black Companion Set,Forged from steel The Jet Black Fire Tool Set is durable and robust and would complement any contemporary range of wood fires,https://www.homebase.co.uk/scandia-black-companion-set_p479765,20,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/a64fa03a-ddf0-4669-88bb-7a4531a333a3.png,,479765
Scandia 2 Fold Fire Grate,This sturdy fire safety screen will minimise the risk of coming into contact with what can be extremely hot surfaces. Suits most mid-size wood fires.,https://www.homebase.co.uk/scandia-2-fold-fire-grate_p479769,25,https://bcc53877d7aa0a135b9a-1452ca75bf8985207bb5b0c44a65ef28.ssl.cf4.rackcdn.com/Product-190x190/4092b532-3451-4e60-b50b-3e0c54182f4c.jpg,,479769
